Replacements Model,,,,,,,,,,,,,,,,,,,,,,
,AssertStatement,Block,BreakStatement,ConstructorInvocation,ContinueStatement,DoStatement,EmptyStatement,EnhancedForStatement,ExpressionStatement,ForStatement,IfStatement,LabeledStatement,ReturnStatement,SuperConstructorInvocation,SwitchCase,SwitchStatement,SynchronizedStatement,ThrowStatement,TryStatement,TypeDeclarationStatement,VariableDeclarationStatement,WhileStatement
AssertStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Block,0,0,1,1,0,0,0,1,35,0,31,0,4,0,1,1,0,0,0,0,11,0
BreakStatement,0,2,0,0,0,0,0,0,39,0,3,0,2,0,2,0,0,0,0,0,0,0
ConstructorInvocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ContinueStatement,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
DoStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EmptyStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EnhancedForStatement,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0
ExpressionStatement,1,17,29,0,0,0,0,2,0,1,31,0,11,1,0,0,0,0,0,0,127,0
ForStatement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
IfStatement,1,53,1,0,0,1,0,8,162,1,0,0,6,0,0,1,2,1,7,0,38,0
LabeledStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReturnStatement,0,29,0,0,0,0,0,0,14,0,3,0,0,0,0,1,0,2,0,0,6,0
SuperConstructorInvocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SwitchCase,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SwitchStatement,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SynchronizedStatement,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0
ThrowStatement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
TryStatement,0,0,0,0,0,0,0,1,21,4,6,0,6,0,0,0,0,0,0,0,4,0
TypeDeclarationStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VariableDeclarationStatement,2,10,0,0,0,0,0,6,115,1,22,0,5,0,0,0,0,0,0,0,0,0
WhileStatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Mutation Operator Model,,,,,,,,,,,,,,,,,,,,,,
Replace,929,,,,,,,,,,,,,,,,,,,,,
Append,93776,,,,,,,,,,,,,,,,,,,,,
Delete,13982,,,,,,,,,,,,,,,,,,,,,
NULLCHECK,1174,,,,,,,,,,,,,,,,,,,,,
PARREP,9113,,,,,,,,,,,,,,,,,,,,,
FUNREP,1726,,,,,,,,,,,,,,,,,,,,,
PARADD or PARREM,4833,,,,,,,,,,,,,,,,,,,,,
OBJINIT,42,,,,,,,,,,,,,,,,,,,,,
SEQEXCH,24211,,,,,,,,,,,,,,,,,,,,,
RANGECHECK,64,,,,,,,,,,,,,,,,,,,,,
SIZECHECK,108,,,,,,,,,,,,,,,,,,,,,
LBOUNDSET,10,,,,,,,,,,,,,,,,,,,,,
UBOUNDSET,3,,,,,,,,,,,,,,,,,,,,,
OFFBYONE,0,,,,,,,,,,,,,,,,,,,,,
CASTCHECK,171,,,,,,,,,,,,,,,,,,,,,
CASTERMUT,50,,,,,,,,,,,,,,,,,,,,,
CASTEEMUT,931,,,,,,,,,,,,,,,,,,,,,
EXPREP,1966,,,,,,,,,,,,,,,,,,,,,
EXPADD or EXPREM,568,,,,,,,,,,,,,,,,,,,,,
